Students	10000
103	30 1 40 27
104	8 26 35 25
105	36 23 27 11
106	15 29 13 11
107	33 20 36 35
108	7 8 28 23
109	38 5 32 22
110	26 18 28 22
111	28 5 4 36
112	26 35 1 34
113	17 10 34 1
114	1 36 37 23
115	20 19 13 24
116	8 21 29 30
117	20 34 33 10
118	31 24 20 38
119	21 20 3 6
120	38 28 25 20
121	10 32 17 23
122	25 10 22 36
123	27 10 6 23
124	34 29 25 8
125	35 34 17 9
126	5 16 27 4
127	29 13 3 33
128	21 2 3 32
129	21 27 30 28
130	13 39 14 9
131	5 18 16 35
132	4 10 5 25
133	22 7 8 27
134	13 39 34 18
135	35 5 28 9
136	27 12 28 29
137	32 20 31 7
138	35 29 38 32
139	34 29 38 24
140	25 12 4 16
141	32 21 11 18
142	18 17 40 6
143	29 14 21 16
144	8 26 34 3
145	24 28 22 17
146	36 5 4 38
147	15 10 33 31
148	36 31 3 5
149	19 1 14 10
150	19 11 32 6
151	10 17 26 19
152	26 9 8 29
153	4 2 38 8
154	29 24 36 30
155	15 19 14 3
156	26 23 27 15
157	33 40 15 37
158	7 17 5 38
159	39 21 5 36
160	39 9 10 29
161	3 6 10 4
162	27 2 17 29
163	24 19 10 38
164	38 19 23 11
165	30 24 35 32
166	10 35 16 34
167	15 38 17 25
168	18 11 38 32
169	29 2 32 28
170	11 35 21 32
171	22 1 36 11
172	25 21 32 36
173	23 2 24 14
174	39 26 37 20
175	23 24 17 1
176	25 4 40 8
177	17 6 31 26
178	38 25 17 7
179	32 9 38 14
180	6 38 12 13
181	2 30 21 34
182	28 15 3 6
183	15 32 22 39
184	2 35 25 22
185	22 25 17 27
186	37 40 3 22
187	19 38 24 10
188	36 20 12 18
189	2 24 12 16
190	32 15 21 1
191	33 40 22 3
192	1 21 9 10
193	22 27 30 40
194	9 19 31 30
195	28 19 17 18
196	31 7 39 17
197	25 3 32 4
198	20 19 7 14
199	2 40 11 22
200	19 2 15 16
201	21 9 22 20
202	33 6 26 14
203	13 2 33 25
204	7 30 11 36
205	28 38 37 14
206	27 24 10 20
207	12 23 17 20
208	25 36 19 1
209	30 8 32 5
210	34 11 33 12
211	30 16 13 14
212	22 35 20 29
213	18 4 3 40
214	6 39 21 37
215	2 25 39 13
216	29 17 25 24
217	33 35 31 6
218	19 5 23 25
219	33 19 32 40
220	24 19 35 5
221	21 29 2 13
222	31 14 33 35
223	28 1 35 7
224	32 21 3 2
225	31 3 38 20
226	36 20 17 16
227	23 1 27 35
228	30 29 8 37
229	2 22 34 8
230	27 40 2 17
231	9 39 40 13
232	32 6 22 5
233	7 40 30 12
234	9 16 14 29
235	28 21 15 27
236	21 9 17 32
237	9 3 6 15
238	39 19 8 7
239	4 10 40 21
240	20 13 21 7
241	34 11 23 19
242	2 38 33 39
243	8 38 32 36
244	39 18 19 22
245	1 29 19 24
246	2 10 12 6
247	17 12 33 1
248	15 33 39 13
249	20 2 15 19
250	10 2 29 20
251	38 10 15 7
252	32 8 31 9
253	7 4 38 36
254	28 4 7 16
255	21 31 38 24
256	39 38 1 9
257	36 11 23 13
258	13 17 30 3
259	30 20 11 37
260	1 9 31 26
261	23 21 37 5
262	25 16 11 33
263	27 32 2 3
264	31 34 12 25
265	15 14 24 26
266	22 37 9 5
267	38 39 8 4
268	4 32 7 6
269	20 36 14 25
270	28 19 39 36
271	23 25 31 32
272	6 33 11 8
273	27 38 8 33
274	28 2 1 19
275	9 2 14 22
276	19 15 26 11
277	1 39 33 36
278	32 29 31 17
279	30 1 24 17
280	6 34 37 40
281	36 6 25 1
282	33 22 10 38
283	32 4 2 12
284	5 10 36 30
285	38 36 1 18
286	11 4 1 15
287	9 20 18 8
288	23 15 26 30
289	14 18 37 3
290	38 10 6 20
291	33 11 34 35
292	40 35 5 18
293	36 22 18 15
294	12 36 8 14
295	7 17 34 19
296	5 22 2 39
297	8 39 9 32
298	33 7 6 36
299	40 27 4 29
300	7 34 40 31
301	19 10 32 18
302	23 26 10 6
303	14 28 40 15
304	16 8 13 14
305	8 34 19 16
306	27 14 8 19
307	25 22 6 34
308	2 10 13 39
309	12 5 38 17
310	18 12 6 33
311	36 40 2 27
312	12 3 39 22
313	15 39 31 22
314	30 11 25 15
315	7 37 8 9
316	38 7 4 19
317	5 17 7 26
318	16 19 11 6
319	18 5 36 34
320	30 34 9 14
321	21 13 29 14
322	39 10 7 33
323	11 14 35 5
324	18 13 20 1
325	29 17 19 25
326	5 4 38 27
327	40 13 16 5
328	4 26 5 6
329	4 21 35 25
330	28 19 3 23
331	21 36 22 3
332	18 4 19 29
333	8 28 15 20
334	9 37 33 29
335	2 18 20 28
336	30 18 39 33
337	15 40 14 3
338	13 7 11 8
339	7 39 5 40
340	15 21 20 12
341	15 17 31 40
342	40 29 27 9
343	11 29 14 22
344	29 25 10 24
345	16 37 18 25
346	5 22 39 15
347	32 15 39 26
348	14 19 25 30
349	22 21 12 29
350	17 13 27 35
351	26 23 39 24
352	9 26 37 4
353	27 24 36 7
354	20 14 40 34
355	3 21 18 32
356	31 27 10 30
357	34 23 18 19
358	23 29 37 20
359	26 17 13 23
360	4 34 28 6
361	28 37 5 9
362	13 36 21 39
363	30 21 36 27
364	34 13 21 28
365	33 26 4 34
366	20 24 7 11
367	3 34 14 1
368	1 3 39 25
369	32 8 37 39
370	18 23 25 15
371	38 7 40 2
372	9 34 15 26
373	26 27 36 5
374	31 12 6 1
375	34 5 38 39
376	33 19 8 6
377	34 40 23 3
378	17 29 39 37
379	37 2 8 9
380	10 19 24 9
381	27 13 5 38
382	40 33 24 20
383	22 17 28 16
384	33 13 40 1
385	23 18 28 12
386	9 29 27 16
387	28 17 21 37
388	23 21 13 7
389	14 13 12 33
390	38 11 2 31
391	13 30 33 37
392	21 20 5 27
393	16 13 19 6
394	36 20 22 27
395	3 39 33 22
396	8 17 7 9
397	28 36 24 33
398	27 35 3 28
399	12 33 3 32
400	23 40 18 36
401	27 29 40 13
402	28 35 19 37
403	15 12 39 19
404	21 18 31 34
405	1 38 16 6
406	14 29 7 22
407	19 20 14 6
408	7 18 31 30
409	2 21 4 39
410	17 40 2 13
411	6 17 11 15
412	31 25 16 33
413	4 19 20 24
414	30 5 31 9
415	18 11 20 4
416	17 10 30 31
417	1 22 14 6
418	26 22 32 30
419	32 9 6 29
420	37 15 16 25
421	22 15 4 2
422	40 28 37 15
423	14 29 39 12
424	31 39 23 9
425	27 29 22 12
426	1 34 12 33
427	40 9 15 18
428	12 17 34 31
429	4 28 15 3
430	12 39 11 27
431	22 26 15 36
432	18 7 26 27
433	8 25 22 5
434	19 8 28 29
435	27 31 8 28
436	28 34 31 35
437	32 5 25 1
438	40 6 27 19
439	38 33 19 24
440	39 6 25 40
441	23 38 37 25
442	34 2 16 13
443	5 39 25 12
444	13 26 34 24
445	31 16 21 1
446	3 26 13 12
447	18 27 13 14
448	13 16 12 40
449	26 32 29 16
450	32 13 40 5
451	38 33 18 40
452	35 13 37 12
453	10 23 34 36
454	25 19 15 9
455	8 6 10 36
456	27 1 21 18
457	31 5 25 1
458	24 31 39 27
459	18 15 22 3
460	16 26 6 13
461	40 32 8 27
462	20 35 15 21
463	23 33 1 19
464	27 1 14 16
465	38 2 13 7
466	7 24 12 11
467	11 6 35 29
468	6 29 27 22
469	9 27 7 14
470	35 31 38 37
471	11 31 27 5
472	3 39 2 38
473	26 1 14 24
474	8 10 6 32
475	33 23 11 29
476	17 7 39 36
477	27 34 1 5
478	3 37 22 39
479	29 4 7 21
480	38 28 29 25
481	24 6 4 10
482	1 39 7 8
483	33 20 5 23
484	11 22 29 39
485	2 16 11 5
486	16 22 19 5
487	23 4 10 21
488	21 31 4 22
489	32 29 36 19
490	35 13 6 30
491	25 28 34 13
492	40 7 29 6
493	25 14 11 21
494	2 16 10 32
495	17 18 20 11
496	3 17 15 31
497	23 3 4 38
498	9 7 2 14
499	16 14 21 32
500	16 15 33 27
501	24 17 5 32
502	28 39 11 13
503	36 22 3 16
504	37 33 6 10
505	9 36 22 40
506	12 32 31 19
507	15 21 32 2
508	23 40 24 12
509	21 27 14 35
510	4 18 1 6
511	24 39 2 22
512	23 21 4 5
513	34 3 23 20
514	40 28 7 11
515	26 36 28 12
516	24 34 6 35
517	28 31 39 10
518	8 23 6 39
519	2 14 4 29
520	4 40 32 7
521	3 25 24 8
522	33 3 8 40
523	4 10 18 39
524	3 35 6 22
525	25 12 15 5
526	40 11 27 37
527	20 34 39 38
528	37 5 22 30
529	22 28 15 5
530	35 26 39 23
531	34 26 14 4
532	39 21 20 22
533	36 31 22 8
534	29 5 21 15
535	12 9 20 16
536	20 35 15 34
537	1 23 2 16
538	4 23 14 6
539	9 16 10 17
540	15 5 28 23
541	22 6 26 18
542	7 14 1 27
543	21 2 10 3
544	26 25 7 29
545	39 19 24 33
546	19 3 15 17
547	16 10 38 17
548	31 36 39 24
549	1 33 14 22
550	15 17 26 3
551	11 36 25 8
552	40 20 31 21
553	29 36 13 6
554	6 28 32 27
555	29 38 9 15
556	22 39 7 17
557	36 28 40 1
558	1 7 2 12
559	12 26 5 17
560	30 2 20 18
561	28 29 2 9
562	33 39 4 1
563	1 3 29 12
564	24 33 37 11
565	35 11 12 37
566	16 18 38 4
567	18 24 6 5
568	20 38 23 13
569	6 18 30 22
570	25 4 29 27
571	11 38 1 17
572	2 37 3 34
573	9 30 31 22
574	26 3 22 28
575	16 20 21 6
576	16 37 20 35
577	10 12 17 28
578	39 24 22 15
579	19 40 14 15
580	33 5 26 6
581	26 10 17 20
582	21 30 12 37
583	8 3 16 32
584	7 36 4 23
585	33 40 14 35
586	31 27 24 8
587	14 25 20 4
588	32 15 22 36
589	36 34 25 28
590	34 31 18 4
591	19 29 32 31
592	22 21 16 33
593	23 13 9 37
594	19 16 37 31
595	33 22 15 28
596	39 9 38 7
597	2 35 14 6
598	3 23 15 2
599	20 10 8 32
600	32 2 34 3
601	27 37 20 22
602	34 3 12 25
603	26 27 4 14
604	6 10 22 13
605	11 18 39 19
606	6 29 15 32
607	20 17 36 1
608	25 23 21 12
609	25 5 29 35
610	38 2 40 8
611	26 17 1 20
612	14 6 24 31
613	4 6 10 20
614	36 9 5 14
615	38 16 26 7
616	28 27 16 6
617	25 18 37 29
618	13 17 27 20
619	23 34 8 17
620	38 36 1 17
621	8 19 33 4
622	9 15 13 1
623	35 11 31 25
624	22 30 9 12
625	27 31 6 40
626	40 7 31 4
627	14 33 6 11
628	18 26 20 6
629	4 27 13 16
630	9 40 4 33
631	1 5 34 37
632	9 32 19 5
633	21 13 6 32
634	12 18 28 8
635	9 39 24 34
636	32 9 37 11
637	12 8 17 19
638	22 17 33 14
639	14 23 6 18
640	2 23 28 16
641	32 25 31 34
642	36 34 19 4
643	16 1 26 19
644	17 10 33 28
645	17 5 2 15
646	4 38 10 40
647	12 31 38 20
648	6 2 34 39
649	24 5 39 26
650	4 27 37 24
651	27 29 4 19
652	33 21 30 27
653	30 10 12 22
654	16 39 28 40
655	11 18 27 12
656	8 5 35 17
657	16 30 9 17
658	17 7 37 26
659	28 21 11 33
660	15 5 18 6
661	24 22 31 33
662	11 35 33 22
663	9 16 33 5
664	24 40 3 9
665	17 32 39 36
666	33 30 8 6
667	13 32 6 22
668	14 17 1 26
669	26 12 14 38
670	15 1 26 30
671	14 22 38 8
672	10 23 9 5
673	40 12 21 5
674	35 29 7 34
675	35 12 17 32
676	27 21 17 11
677	40 37 5 29
678	24 31 3 21
679	8 5 6 4
680	12 31 9 15
681	6 34 30 27
682	32 14 2 19
683	23 37 24 22
684	39 15 27 16
685	10 33 31 36
686	37 22 21 2
687	35 2 40 12
688	34 39 14 6
689	27 33 25 17
690	38 7 17 8
691	5 34 23 17
692	16 14 29 24
693	21 19 7 37
694	10 20 40 31
695	2 1 37 22
696	32 40 33 2
697	31 7 3 15
698	21 7 24 34
699	38 23 19 16
700	11 16 21 29
701	31 2 11 38
702	11 19 23 17
703	34 31 15 6
704	35 34 6 8
705	11 28 1 2
706	1 28 13 7
707	12 2 17 26
708	24 29 6 3
709	14 39 27 18
710	10 19 16 5
711	34 31 23 3
712	37 17 22 34
713	18 16 25 7
714	23 12 25 15
715	37 16 11 33
716	11 5 15 19
717	1 9 6 39
718	19 30 11 28
719	35 34 19 28
720	36 9 38 29
721	30 19 14 26
722	32 8 27 3
723	10 16 29 6
724	7 31 30 32
725	13 40 25 26
726	20 4 38 36
727	26 20 27 29
728	25 8 38 3
729	4 35 14 16
730	19 5 9 28
731	22 38 29 24
732	38 11 21 5
733	30 1 10 15
734	36 37 12 38
735	23 36 7 39
736	25 18 33 4
737	7 35 23 38
738	39 8 10 33
739	20 19 6 33
740	36 21 4 17
741	1 26 23 15
742	32 2 1 6
743	39 9 20 25
744	22 27 18 40
745	11 34 12 15
746	8 33 39 4
747	7 27 11 1
748	39 1 6 3
749	32 14 12 13
750	5 36 17 11
751	8 12 31 36
752	15 19 9 37
753	31 1 34 35
754	11 28 6 23
755	31 37 17 24
756	21 26 20 12
757	15 10 28 26
758	22 32 15 13
759	10 21 13 31
760	11 5 24 25
761	20 15 23 18
762	9 27 32 26
763	20 37 13 4
764	9 18 16 25
765	6 7 3 19
766	25 3 18 10
767	1 10 4 25
768	8 31 5 27
769	38 2 15 13
770	13 38 15 37
771	20 12 36 34
772	26 7 12 31
773	21 36 37 30
774	33 31 23 30
775	2 11 24 22
776	16 12 8 34
777	24 39 36 8
778	4 32 15 13
779	3 39 5 31
780	16 26 9 8
781	20 13 17 34
782	7 22 34 3
783	14 30 2 18
784	23 36 16 24
785	15 7 40 6
786	12 38 9 33
787	36 6 23 40
788	35 19 14 23
789	37 34 22 28
790	21 6 26 32
791	18 10 23 20
792	26 33 24 36
793	21 6 23 35
794	11 37 30 36
795	18 39 16 7
796	25 22 28 34
797	23 13 15 37
798	8 22 5 13
799	27 31 12 40
800	37 15 25 36
801	26 15 2 14
802	17 36 1 39
803	34 37 26 7
804	12 40 8 34
805	31 29 3 6
806	3 40 21 9
807	3 7 38 1
808	6 8 21 9
809	18 34 22 5
810	31 35 13 22
811	9 36 6 40
812	6 22 12 17
813	9 27 40 30
814	4 15 6 35
815	34 36 22 13
816	36 28 14 2
817	17 14 23 2
818	35 12 27 38
819	11 7 15 22
820	25 26 34 7
821	10 35 37 21
822	6 25 38 13
823	20 28 37 39
824	12 13 32 16
825	2 36 8 22
826	5 15 19 29
827	32 19 7 23
828	20 33 3 31
829	1 11 30 10
830	2 21 8 31
831	9 40 6 34
832	33 36 12 2
833	9 32 14 19
834	21 28 34 6
835	13 5 26 9
836	7 36 14 31
837	26 21 27 7
838	11 26 6 21
839	40 6 39 2
840	19 14 37 20
841	3 33 24 21
842	37 17 2 27
843	28 19 7 35
844	7 30 21 1
845	17 32 38 16
846	38 26 13 33
847	6 30 18 11
848	31 17 18 6
849	38 39 27 8
850	30 28 23 15
851	5 31 11 19
852	10 15 14 22
853	2 23 37 16
854	7 26 8 11
855	32 4 10 38
856	27 16 5 10
857	18 9 30 3
858	13 7 21 34
859	5 26 31 11
860	30 35 16 5
861	36 19 9 31
862	7 24 9 8
863	7 5 40 21
864	39 27 28 40
865	2 26 5 38
866	29 21 38 9
867	31 8 7 5
868	29 18 3 26
869	13 31 18 20
870	12 39 20 33
871	27 7 8 18
872	30 23 22 3
873	1 33 29 2
874	15 2 35 39
875	10 40 18 32
876	26 7 28 11
877	14 36 11 7
878	37 7 31 5
879	10 39 38 17
880	19 39 18 3
881	4 15 16 36
882	36 4 35 30
883	16 12 24 38
884	36 17 34 16
885	21 6 38 7
886	9 21 23 12
887	37 25 9 16
888	25 17 38 14
889	26 14 6 33
890	15 35 25 26
891	8 39 4 14
892	32 17 35 7
893	33 15 5 19
894	22 40 15 24
895	23 7 29 39
896	31 17 4 34
897	11 32 13 19
898	18 32 9 28
899	20 24 11 22
900	3 30 24 1
901	34 32 40 20
902	3 27 29 22
903	37 5 12 25
904	26 37 5 25
905	14 26 39 29
906	15 29 22 28
907	40 39 33 4
908	39 13 33 14
909	23 37 14 22
910	19 12 10 25
911	40 37 4 18
912	33 1 20 38
913	10 18 20 30
914	12 34 19 37
915	33 11 3 19
916	21 11 18 20
917	39 36 7 1
918	35 19 21 33
919	4 30 19 1
920	18 12 11 31
921	13 1 23 34
922	15 28 22 23
923	4 31 10 9
924	26 27 38 4
925	7 18 1 15
926	38 5 11 37
927	28 14 10 31
928	24 37 18 35
929	27 10 15 22
930	28 1 15 39
931	34 28 36 3
932	37 2 1 31
933	4 2 36 34
934	33 23 1 32
935	25 35 13 15
936	10 28 23 40
937	9 18 34 19
938	3 31 4 24
939	16 32 23 8
940	15 10 37 30
941	17 14 7 22
942	31 19 32 13
943	23 3 13 31
944	4 9 29 22
945	19 39 32 12
946	31 35 24 27
947	18 39 25 5
948	20 12 6 36
949	39 15 11 10
950	18 15 28 36
951	24 29 3 14
952	19 8 31 33
953	24 37 39 2
954	13 3 1 37
955	27 21 20 12
956	25 5 36 28
957	4 10 13 26
958	1 39 27 29
959	17 28 13 31
960	37 19 38 11
961	15 18 22 12
962	24 40 9 16
963	13 38 17 24
964	30 14 34 12
965	34 39 5 28
966	8 4 18 27
967	15 32 30 2
968	14 5 19 18
969	12 32 6 4
970	36 21 17 26
971	14 5 27 30
972	22 23 1 37
973	34 22 21 26
974	25 26 28 1
975	12 40 10 33
976	17 10 19 21
977	20 26 23 16
978	39 5 13 12
979	18 40 37 15
980	30 10 7 37
981	20 13 38 8
982	37 19 30 25
983	2 24 6 10
984	16 1 2 5
985	11 3 26 24
986	15 36 21 29
987	36 23 1 38
988	32 22 18 29
989	11 25 8 6
990	19 17 26 36
991	7 40 13 33
992	40 6 32 15
993	25 29 6 40
994	30 7 37 38
995	35 15 19 30
996	36 14 10 17
997	26 37 35 31
998	35 11 20 14
999	15 35 23 8
1000	32 26 19 8
1001	31 9 20 6
1002	9 24 12 39
1003	32 29 10 25
1004	10 7 31 29
1005	36 5 13 9
1006	31 32 13 15
1007	29 21 9 26
1008	9 16 15 8
1009	18 23 38 30
1010	3 37 40 21
1011	15 11 24 21
1012	31 4 11 22
1013	34 37 22 11
1014	5 21 8 7
1015	33 25 34 14
1016	12 5 31 24
1017	26 28 33 8
1018	13 17 22 29
1019	34 16 31 8
1020	7 12 27 24
1021	38 1 40 29
1022	23 31 3 10
1023	3 16 9 30
1024	22 1 31 4
1025	33 39 23 11
1026	2 37 35 29
1027	13 15 23 28
1028	14 34 38 33
1029	13 28 16 5
1030	13 32 17 19
1031	30 31 14 8
1032	16 12 27 1
1033	1 21 6 28
1034	16 35 1 17
1035	7 2 3 10
1036	13 6 37 40
1037	27 16 7 28
1038	11 9 26 27
1039	5 39 32 29
1040	40 19 34 15
1041	31 10 38 15
1042	31 3 24 6
1043	6 29 25 35
1044	1 39 40 34
1045	8 35 17 14
1046	24 33 19 8
1047	3 28 39 24
1048	30 25 4 15
1049	12 34 15 9
1050	18 23 2 14
1051	6 24 28 33
1052	3 36 6 15
1053	17 13 22 4
1054	26 13 29 9
1055	10 30 11 26
1056	13 36 31 8
1057	9 40 10 39
1058	34 9 19 30
1059	21 10 39 28
1060	32 6 12 25
1061	11 26 10 23
1062	26 24 15 27
1063	17 6 39 23
1064	2 17 33 23
1065	2 29 36 9
1066	14 33 32 7
1067	37 25 8 14
1068	4 25 9 11
1069	22 30 20 32
1070	17 31 33 23
1071	19 18 4 40
1072	6 18 9 29
1073	4 27 7 23
1074	40 38 35 20
1075	14 17 8 27
1076	33 20 18 26
1077	1 39 27 18
1078	21 22 14 38
1079	30 39 3 9
1080	2 27 5 11
1081	39 25 9 11
1082	30 17 24 13
1083	36 19 14 25
1084	37 12 16 8
1085	12 24 21 8
1086	33 13 26 17
1087	30 5 1 14
1088	40 13 35 37
1089	8 3 40 23
1090	18 26 17 11
1091	37 29 6 4
1092	31 13 12 25
1093	19 15 4 26
1094	40 38 19 3
1095	27 3 2 40
1096	34 4 38 39
1097	22 24 21 34
1098	24 39 10 38
1099	9 37 10 29
1100	30 17 36 18
1101	3 33 39 16
1102	39 4 2 13
1103	16 17 21 38
1104	25 27 21 38
1105	13 11 24 12
1106	34 37 10 20
1107	5 3 28 14
1108	6 36 12 32
1109	39 32 14 35
1110	10 29 23 21
1111	3 27 22 16
1112	22 26 10 40
1113	20 7 24 39
1114	39 10 4 22
1115	5 37 10 24
1116	4 33 30 21
1117	39 12 17 24
1118	17 1 3 35
1119	34 28 13 31
1120	14 2 21 3
1121	20 12 6 37
1122	7 18 36 30
1123	17 39 2 37
1124	40 6 11 14
1125	14 36 30 4
1126	5 22 15 39
1127	17 36 30 28
1128	15 11 34 6
1129	17 8 14 2
1130	7 2 19 24
1131	7 5 30 27
1132	12 27 7 37
1133	39 34 32 12
1134	40 14 9 32
1135	16 36 31 7
1136	37 34 12 7
1137	31 5 19 13
1138	33 9 35 26
1139	21 15 12 34
1140	24 2 29 21
1141	36 19 2 40
1142	30 24 15 7
1143	19 4 16 22
1144	12 38 34 40
1145	25 8 40 21
1146	2 37 6 23
1147	17 26 29 11
1148	30 3 10 1
1149	10 9 3 12
1150	18 6 12 2
1151	10 11 18 14
1152	16 25 37 29
1153	3 26 33 12
1154	24 17 28 29
1155	8 23 18 20
1156	38 11 1 27
1157	27 12 35 5
1158	3 29 7 32
1159	15 3 30 14
1160	21 27 39 22
1161	4 20 7 23
1162	8 40 17 20
1163	25 30 37 5
1164	36 27 17 9
1165	37 14 13 10
1166	9 29 30 21
1167	24 26 20 16
1168	8 34 39 26
1169	4 8 22 14
1170	21 34 23 11
1171	15 20 40 14
1172	23 21 32 8
1173	29 24 11 22
1174	17 9 40 13
1175	22 31 30 23
1176	9 32 18 31
1177	24 28 27 8
1178	23 38 2 24
1179	36 31 9 27
1180	40 15 12 24
1181	18 17 38 32
1182	28 7 11 34
1183	21 7 16 9
1184	20 26 30 17
1185	38 28 20 35
1186	25 8 40 4
1187	1 39 10 27
1188	2 17 16 11
1189	40 13 10 32
1190	35 23 39 33
1191	12 18 29 32
1192	28 37 35 17
1193	16 11 19 3
1194	37 11 39 19
1195	8 10 35 11
1196	7 2 8 13
1197	39 7 36 20
1198	40 6 22 34
1199	12 11 14 40
1200	21 33 34 39
1201	28 34 6 30
1202	5 38 6 1
1203	19 40 16 18
1204	30 7 12 31
1205	32 22 23 28
1206	38 39 26 6
1207	12 7 39 1
1208	28 6 16 8
1209	7 27 11 20
1210	29 33 37 30
1211	25 15 21 9
1212	12 6 9 7
1213	36 26 33 6
1214	14 6 18 23
1215	33 16 38 5
1216	13 34 20 4
1217	36 32 2 26
1218	25 11 35 14
1219	13 39 26 28
1220	1 22 26 14
1221	39 13 25 2
1222	25 15 18 22
1223	4 11 25 30
1224	37 40 8 16
1225	20 12 6 16
1226	29 10 15 37
1227	20 21 25 10
1228	22 23 39 38
1229	33 15 19 32
1230	9 39 22 24
1231	10 5 22 25
1232	34 19 9 4
1233	20 2 40 1
1234	7 34 3 10
1235	17 35 20 36
1236	27 35 5 21
1237	1 10 40 4
1238	13 17 18 15
1239	4 40 8 11
1240	24 9 15 19
1241	40 19 4 26
1242	1 37 21 16
1243	11 9 37 17
1244	33 1 26 11
1245	33 24 29 23
1246	28 14 3 40
1247	28 40 11 33
1248	19 17 34 27
1249	35 32 24 9
1250	27 40 2 7
1251	23 34 4 20
1252	21 9 34 3
1253	4 6 1 18
1254	31 22 27 23
1255	2 4 6 16
1256	8 36 2 29
1257	23 7 22 24
1258	8 30 38 7
1259	11 21 33 40
1260	9 32 23 15
1261	19 21 6 18
1262	13 33 40 16
1263	2 24 20 17
1264	16 1 24 8
1265	13 17 2 3
1266	35 14 27 7
1267	28 18 26 39
1268	34 16 24 12
1269	2 29 25 32
1270	26 32 15 20
1271	35 27 30 39
1272	32 2 36 38
1273	40 6 3 9
1274	29 40 22 34
1275	4 39 31 9
1276	30 2 3 21
1277	29 12 23 39
1278	28 1 29 17
1279	14 1 39 13
1280	26 38 18 5
1281	36 29 11 19
1282	1 19 21 25
1283	29 14 3 30
1284	22 21 16 17
1285	24 36 19 14
1286	12 20 11 16
1287	39 34 25 13
1288	23 16 40 17
1289	31 19 2 14
1290	26 21 6 20
1291	20 29 40 14
1292	34 26 35 4
1293	13 34 36 25
1294	18 16 32 8
1295	18 23 12 9
1296	26 17 11 12
1297	28 10 26 17
1298	1 3 10 2
1299	3 21 17 12
1300	12 34 10 40
1301	35 22 16 3
1302	14 30 33 13
1303	12 1 23 35
1304	35 9 22 18
1305	32 38 24 39
1306	19 3 28 39
1307	25 3 10 14
1308	19 6 30 24
1309	17 12 34 35
1310	29 38 27 30
1311	35 5 18 21
1312	26 2 34 40
1313	7 38 20 35
1314	14 12 6 33
1315	19 25 4 39
1316	25 22 36 12
1317	13 22 23 36
1318	27 5 36 17
1319	8 17 2 18
1320	17 16 5 23
1321	12 16 6 26
1322	4 15 2 28
1323	28 20 17 39
1324	15 20 27 24
1325	30 15 35 2
1326	7 4 20 39
1327	18 10 30 38
1328	3 5 9 39
1329	25 3 10 34
1330	28 11 21 27
1331	26 2 30 10
1332	36 11 16 31
1333	20 7 27 9
1334	32 1 20 7
1335	26 5 28 7
1336	19 40 34 29
1337	29 6 39 8
1338	10 2 21 11
1339	9 15 20 18
1340	2 27 14 25
1341	11 8 25 7
1342	12 10 27 40
1343	8 26 2 6
1344	1 39 38 7
1345	21 31 22 1
1346	40 8 2 17
1347	13 28 3 5
1348	17 15 14 9
1349	15 27 10 8
1350	39 40 14 24
1351	26 17 6 29
1352	16 26 15 14
1353	37 18 13 15
1354	1 24 20 31
1355	33 1 4 8
1356	40 36 16 10
1357	22 6 15 12
1358	20 37 10 21
1359	9 14 35 27
1360	11 21 14 27
1361	16 38 40 3
1362	25 21 24 22
